?	3	1	0	0
?	9	6	1	0
b	9	6	7	0
?	27	27	27	7
a	27	54	27	7
?	81	189	135	48
a	81	270	135	48
?	243	891	675	279
?	729	2916	2916	1512
?	2187	9477	11664	7452
a	2187	11664	11664	7452
c	2187	11664	11664	19116
a	2187	13851	11664	19116
?	6561	43740	48843	69012
c	6561	43740	48843	117855
?	19683	137781	190269	402408
a	19683	157464	190269	402408
?	59049	492075	728271	1397493
c	59049	492075	728271	2125764
a	59049	551124	728271	2125764
?	177147	1712421	2735937	7105563
?	531441	5314410	9920232	24052626
?	1594323	16474671	35075106	82078110
?	4782969	51018336	121699989	281309436
?	14348907	157837977	416118303	965628297
?	43046721	487862838	1406192886	3313003194
a	43046721	530909559	406192879	313003173
c	43046721	530909559	406192879	719196052
?	129140163	1635775398	1749488196	2563781035
b	129140163	635775391	1385263580	563781021
?	387420489	2036466336	1791566110	2076606636
?	1162261467	496819455	2411164631	1021385969
?	486784380	1652719825	1730313306	475322503
a	486784380	1139504198	730313299	475322503
a	486784380	626288571	730313299	475322503
b	486784380	626288571	1356601870	475322503
b	486784380	626288571	982890434	475322503
?	1460353140	2365650093	3574959873	2408857943
c	460353133	365650079	574959852	983817781
?	1381059399	1557303370	2090529635	3526413195
a	381059392	938362755	90529621	526413174
c	381059392	938362755	90529621	616942795
?	1143178176	3196147657	1209951618	1941358006
?	429534507	731621077	826002469	3034025608
c	429534507	731621077	826002469	860028056
b	429534507	731621077	1557623546	860028056
c	429534507	731621077	557623539	1417651595
a	429534507	1161155584	557623539	417651588
?	1288603521	913001238	1834026194	1810578303
?	865810542	3027607228	3415079799	3265761075
?	2597431626	948632163	1272846541	1212362940
a	597431612	1546063775	272846534	212362933
?	1792294836	2235622916	1364603370	909935333
b	792294829	235622902	600226265	909935333
?	2376884487	1499163535	2036301697	3330032264
?	1130653419	1874375057	608068577	1026398412
?	391960236	2753778562	2698580781	687263792
?	1175880708	2653295880	2849520849	2760372143
b	175880701	653295866	1502816701	760372129
a	175880701	829176567	502816694	760372129
a	175880701	1005057268	502816694	760372129
?	527642103	191052484	1513507343	2783933081
c	527642103	191052484	513507336	1297440403
a	527642103	718694587	513507336	297440396
?	1582926309	2683725864	2259216595	1405828524
?	1748778906	2634103852	1461375593	1476702132
b	748778899	634103838	1095479424	476702125
?	2246336697	2651090413	920542089	1525585792
?	739010049	2199607880	3412716666	2497299444
?	2217030147	1337833647	1437757801	1904614935
c	217030133	337833640	437757794	1342372722
b	217030133	337833640	775591434	342372715
c	217030133	337833640	775591434	1117964149
?	651090399	1230531053	2664607942	1129483860
?	1953271197	1342683537	2224354830	1053059487
c	953271190	342683530	224354816	277414296
?	2859813570	1981321780	1015747978	1056597704
?	2579440668	3803778875	1028565686	185541062
a	579440654	1383219508	28565679	185541062
b	579440654	383219501	411785180	185541062
?	1738321962	1729099157	1618575041	968408366
a	738321955	1467421105	618575034	968408366
c	738321955	467421098	618575034	1586983400
?	2214965865	2140585249	2323146200	2379525213
?	644897553	636721556	1110023793	1461721783
?	1934692659	2555062221	966792914	1495189114
c	934692652	555062207	966792914	1461982021
?	2804077956	2599879273	3455440949	2352738956
b	804077942	599879259	1055320187	352738942
c	804077942	599879259	55320180	408059122
b	804077942	599879259	655199439	408059122
b	804077942	599879259	1255078698	408059122
?	2412233826	2603715719	1365115332	1479256057
c	412233812	603715705	365115325	844371375
?	1236701436	2223380927	1699061680	2898229450
?	710104287	906844168	2320565932	3393749981
a	710104287	1616948455	320565918	393749960
b	710104287	616948448	937514366	393749960
a	710104287	1327052735	937514366	393749960
c	710104287	327052728	937514366	1331264326
331264319
